Type,Team ,Site,blank,ICPMS Sample Name,Li_mg/l or mg/kg,Na_mg/l or mg/kg,Mg_mg/l or mg/kg,Al_mg/l or mg/kg,K _mg/l or mg/kg,Ca_mg/l or mg/kg,Cr_mg/l or mg/kg,Mn_mg/l or mg/kg,Fe_mg/l or mg/kg,Co_mg/l or mg/kg,Ni_mg/l or mg/kg,Cu_mg/l or mg/kg,Zn_mg/l or mg/kg,As_mg/l or mg/kg,Rb_mg/l or mg/kg,Sr_mg/l or mg/kg,Ag_mg/l or mg/kg,Cd_mg/l or mg/kg,Ba_mg/l or mg/kg,Tl_mg/l or mg/kg,Pb_mg/l or mg/kg,U _mg/l or mg/kg
Soil/sed,6,9,no,ST6S9,2.095,61.645,2732.598,7308.369,1011.967,2714.513,17.102,229.697,20637.185,6.674,12.188,22.336,367.668,4.517,11.546,12.105,0.101,0.44900,83.222,0.01123,40.4527,1.21904
Soil/sed,2,10,no,ST2S10,2.052,52.427,3037.335,5939.721,990.134,1526.019,13.471,475.010,15780.886,8.422,11.067,14.732,412.639,3.484,12.667,11.473,0.093,0.51661,52.772,0.02798,29.3122,1.51438
Soil/sed,6,10,no,ST6S10,2.495,58.767,3410.757,7035.327,970.808,2054.739,15.854,449.876,18442.397,8.607,13.350,20.037,509.746,4.170,13.977,14.645,0.121,0.63573,60.773,0.02586,38.1995,1.58393
Soil/sed,3,11,no,ST3S11,1.171,56.755,1528.686,4193.287,1414.444,5135.779,7.450,432.017,8688.487,5.200,3.887,7.702,74.760,1.845,11.046,44.547,0.077,0.27183,63.007,0.01547,12.8931,0.74256
Soil/sed,7,11,no,ST7S11,1.926,54.154,1398.141,4708.968,1152.397,2975.568,7.641,388.049,9163.379,4.554,4.245,7.294,63.855,2.246,13.567,21.194,0.061,0.05309,69.138,0.01634,19.9687,1.61931
Soil/sed,3,12,no,ST3S12,2.316,61.853,2700.660,5676.502,1507.986,2591.095,11.378,319.827,12980.162,6.276,8.464,12.592,316.604,2.930,17.817,14.961,0.132,0.75734,51.262,0.03587,25.5722,1.09216
Soil/sed,3,12,no,ST3S14,3.021,57.108,2503.904,4582.950,1180.737,1053.769,12.597,171.703,13500.229,5.350,6.503,6.447,42.392,2.972,12.242,6.907,0.040,0.04366,38.510,0.02547,8.0018,1.28785
Soil/sed,7,12,no,ST7S12,3.385,79.232,3016.809,6311.875,1597.415,1604.626,13.669,302.819,14587.533,6.995,10.066,11.929,213.135,3.715,24.842,10.618,0.094,0.37913,49.198,0.05204,20.4980,1.19192
Soil/sed,3,13,no,ST3S13,0.868,65.300,869.290,3084.286,543.445,1490.252,6.665,478.061,7660.659,6.256,3.173,5.234,9.171,2.378,8.200,9.951,0.062,0.02422,58.219,0.00440,11.1994,0.94025
Soil/sed,7,13,no,ST7S13,1.771,70.512,1398.237,4772.104,995.696,2132.977,10.699,531.002,11852.467,8.024,5.583,9.266,27.498,3.853,11.752,15.959,0.086,0.04307,86.988,0.01436,17.2775,1.29940
Soil/sed,7,14,no,ST7S14,1.813,91.757,1714.744,3374.496,815.224,975.746,9.150,164.086,10238.322,4.782,6.019,7.595,46.894,3.051,9.039,5.757,0.057,0.07143,29.979,0.00630,8.2800,1.05050
Soil/sed,3,16,no,ST3S16.1,0.835,54.032,1236.595,2228.306,772.453,6878.768,4.536,259.461,4656.457,2.346,3.777,7.928,26.684,1.222,10.627,15.024,0.063,0.06180,22.943,0.00466,8.0232,0.28217
Soil/sed,3,16,no,ST3S16.2,1.541,88.086,2086.704,3869.597,1321.818,11671.856,8.079,438.791,7955.430,4.009,6.531,12.826,45.598,2.033,18.144,25.376,0.106,0.13869,39.394,0.00217,13.7279,0.48974
Soil/sed,3,16,no,ST3S16.3,1.793,99.695,2534.459,4588.028,1595.087,14194.683,9.419,519.392,9348.478,4.733,7.826,15.703,54.899,2.518,22.138,30.759,0.140,0.23131,47.252,0.00260,16.0436,0.58218
Soil/sed,7,16,no,ST7S16,2.619,89.326,1948.132,6202.731,845.906,4192.861,20.630,455.560,15936.104,7.089,11.263,36.413,399.602,5.763,14.410,18.853,0.191,0.33493,102.358,0.00277,106.6843,1.05184
Soil/sed,4,17,no,ST4S17,1.741,69.772,1958.000,3652.197,677.233,741.837,10.937,272.391,10996.716,5.171,7.029,6.627,69.782,2.719,10.130,6.363,0.048,0.05766,29.968,0.00186,20.0750,0.48546
Soil/sed,8,17,no,ST8S17,1.719,323.922,3450.193,4663.373,925.559,4492.506,11.360,368.004,13129.907,6.716,9.051,6.953,263.941,3.199,11.757,38.936,0.044,0.22914,57.681,0.00881,16.1102,0.70504
Soil/sed,4,18,no,ST4S18,0.927,59.345,1299.896,2307.793,532.036,1428.222,7.411,267.845,6018.966,3.324,7.013,3.748,16.874,1.875,6.324,8.134,0.038,0.06732,31.460,0.00198,7.7893,0.92466
Soil/sed,8,18,no,ST8S18,5.037,283.809,4898.123,10598.807,1971.236,2912.226,22.818,500.139,21546.909,8.518,11.737,10.533,38.256,4.434,36.044,29.354,0.088,0.09854,73.971,0.01095,69.1101,1.21534
Soil/sed,4,19,no,ST4S19,1.829,134.911,2062.365,4214.377,683.354,1867.732,11.686,890.033,13227.134,6.607,8.784,18.640,150.032,4.560,9.851,10.983,0.110,0.10968,71.190,0.01301,26.8793,0.89976
Soil/sed,8,19,no,ST8S19,3.354,318.186,2996.986,7275.107,889.419,2948.757,17.096,1511.153,20324.757,10.054,12.900,35.199,252.131,6.607,15.118,21.421,0.111,0.16634,121.584,0.00924,52.9509,1.21057
Soil/sed,4,20,no,ST4S20,1.322,58.559,1480.338,2953.947,594.570,1229.279,7.691,281.609,8133.129,4.699,4.991,8.488,95.908,2.626,8.253,9.519,0.173,0.14335,38.552,0.00199,21.0429,1.04528
Soil/sed,8,20,no,ST8S20,3.657,158.379,3733.694,7501.667,1147.746,2313.973,17.300,645.946,18093.537,10.525,10.722,19.931,236.071,4.972,17.455,25.203,0.559,0.40400,95.893,0.01036,44.0258,3.34596
Soil/sed,8,20,no,ST8S21,5.645,99.609,4565.558,11294.074,1438.587,3803.890,24.758,870.203,25514.229,13.798,16.006,25.800,284.275,6.398,26.027,28.421,0.433,0.36120,126.905,0.01032,57.3998,3.07536
Soil/sed,4,21,no,ST4S21,1.294,52.694,1340.008,2638.162,503.116,1514.751,8.183,358.377,8186.418,5.174,6.182,9.471,124.763,2.614,6.962,9.188,0.217,0.14264,37.691,0.00195,23.8681,1.02390
Soil/sed,4,22,no,ST4S22,1.850,40.460,1655.530,3219.760,617.570,1468.440,9.228,368.504,9933.164,6.284,5.906,8.800,127.732,2.960,7.294,8.526,0.166,0.12600,40.244,0.00200,20.3620,1.02800
Soil/sed,4,22,no,ST4S22.2,1.862,46.509,1677.576,3287.736,635.723,1452.938,9.442,366.978,10081.994,6.253,6.020,8.636,125.251,3.163,7.623,8.395,0.162,0.11835,40.359,0.00201,20.4371,1.04312
Soil/sed,4,22,no,ST4S22.3,2.050,58.027,1871.237,3607.628,712.129,1661.395,10.637,414.511,11349.786,7.063,6.658,9.612,141.966,3.600,8.434,9.619,0.187,0.12545,45.754,0.00237,22.9907,1.19770
Soil/sed,8,22,no,ST8S22,8.199,148.264,5514.211,14061.653,1561.402,5279.142,30.005,1708.942,33321.275,19.654,19.179,29.933,449.522,10.041,31.347,33.011,0.535,0.54662,176.165,0.01188,60.6508,3.77879
Soil/sed,0,0,yes,BLK_digest1,0.053,10.052,0.928,6.910,2.968,2.083,0.278,0.050,0.161,0.002,1.904,0.592,0.157,0.226,0.020,0.003,0.014,0.00300,0.060,0.00200,0.0720,0.00100
Soil/sed,0,0,yes,BLK_digest2,0.053,18.994,6.846,19.972,10.178,2.083,0.314,1.272,30.674,0.024,0.138,0.082,0.157,0.174,0.026,0.003,0.030,0.00800,0.076,0.00200,0.0340,0.00100
Soil/sed,0,0,yes,BLK_digest3,0.053,12.800,0.498,11.678,2.534,2.083,0.074,0.030,0.161,0.002,0.016,0.032,0.157,0.226,0.018,0.003,0.010,0.00300,0.070,0.00200,0.0300,0.00100
Water,1,1,no,T1S1,0.001,0.462,0.256,0.059,0.018,0.044,0.000,0.001,0.012,0.000,0.000,0.000,0.004,0.006,0.001,0.001,0.000,0.00002,0.001,0.00024,0.0006,0.00056
Water,1,1,no,T1S1d,0.001,0.361,0.256,0.024,0.018,0.044,0.000,0.001,0.012,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.00002,0.001,0.00011,0.0000,0.00001
Water,1,1,no,T1S1t,0.001,0.369,0.256,0.022,0.018,0.044,0.000,0.002,0.036,0.000,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.00002,0.001,0.00011,0.0001,0.00001
